CustomerID,Name,Email,Age,Gender,City,Country,FirstPurchaseDate,LastPurchaseDate
b1042ab2-f06a-4b6a-a535-67c660dfb620,Mathew Davidson,brianhumphrey@example.net,32,Female,Port Brittany,Tunisia,,
7033aa03-52a7-4cff-9ab5-3f28c8b7b9a5,Robert Flores,bfox@example.org,70,Female,Markshire,Egypt,,
de57bcd2-f808-4e2d-88ef-80e3e0f05291,Jessica Fleming,philip86@example.org,27,Male,West Joshuaside,Luxembourg,,
76823875-b4b4-4001-848e-61d5ca7e9b4b,Francisco Hendricks MD,landryronald@example.org,60,Female,Lambertview,Congo,,
aff86d2a-6bb7-420f-8e5c-f414469fcf3e,Jacob Reese,yorkjason@example.org,26,Female,Cooperport,Israel,,
0a11dc41-c611-438d-907f-770788744614,Jacqueline Munoz,daltonmelissa@example.net,55,Male,Brettport,Honduras,,
fd1860c2-9dcd-491a-8319-febd88e9f8bb,Louis Buckley,zmiller@example.net,69,Female,Lake Mariaside,Trinidad and Tobago,,
ea94d6a9-6e5c-4372-8ea2-9154421b9d31,Kimberly Bradley,ngraves@example.org,44,Male,Millerport,Barbados,,
2309ee55-f5ce-404f-872e-9cec244403d2,Sandra Smith,vstrickland@example.net,57,Male,South Susanside,Guernsey,,
76daec7c-0a45-469e-9584-32cf12702b4a,Brandon Lindsey,angela13@example.net,55,Male,Joshuaberg,Malaysia,,
517e7f36-fad2-4a76-9763-caa7b5bd532b,Laura Cordova,ylyons@example.org,34,Female,Lake John,Ghana,,
68a2cdb2-c463-4536-aa57-d8ff51b72ad3,Samantha Price,dmiranda@example.net,65,Male,Coxberg,Greenland,,
f5fdb500-6343-437f-b8f4-80e79a73018a,Michelle White,laurenhiggins@example.net,24,Female,Patelchester,Czech Republic,,
420876e8-ab82-432b-984b-23d9879ae809,Ronald Beasley,susanromero@example.com,48,Male,New William,Mexico,,
201cedcc-06bf-421e-b6f7-95806f272b92,Jennifer Jones DDS,wilsonkaren@example.net,64,Male,Seanton,Togo,,
95855e4e-2a64-4ab0-ba45-fd0e50e24327,Dana Owen,jacqueline21@example.net,33,Female,Doughertyside,Comoros,,
bec4ce95-5f7b-4dc3-a318-e77d202024cc,Nicole Freeman,tiffanysmith@example.com,64,Female,Davidfort,Tokelau,,
6ff5c867-f92e-4d0f-9d59-c49124a78edc,Debbie Fox,stephenferguson@example.com,43,Female,North Matthewshire,Trinidad and Tobago,,
c02057bc-f69d-482e-8c1e-2e9cc1017e12,Daniel Palmer,todd79@example.org,25,Male,Josephside,Falkland Islands (Malvinas),,
ab07758d-9fe5-47cf-9750-6fb81c8e18d5,Edward Casey,robert95@example.com,41,Female,New Suzanneberg,North Macedonia,,
eebda234-9e9f-4cc8-9a94-cd2a8830245b,Casey Lucas,michael18@example.org,36,Male,Johnsonstad,Aruba,,
31451a58-7df1-446c-9036-e525c688928c,Melissa Rodgers,matthew84@example.com,34,Female,New Melissastad,Malaysia,,
aa4123da-5d7b-4dc4-9d58-7b5f26bf30bc,Lisa Jones,vchapman@example.org,26,Female,Port Michael,Antigua and Barbuda,,
16362166-091b-421d-aeb8-d758cb535e1e,Ricardo Lawson,morrisonbruce@example.net,44,Male,Katherineland,Bangladesh,,
3755f141-a07b-4ed3-ae42-2fac0d4b47bb,Kellie Benton,alexandererickson@example.com,35,Male,Bryantville,South Africa,,
64414f6c-c6e5-4187-bd8e-cd72570288b1,Ashley Reyes,pmelendez@example.net,23,Male,Josephshire,Jersey,,
