Customer ID,Customer Name,Age,Income,Investment Type,Inflow,Outflow,Feedback,Churn,Acquisition Cost,Date,Net Profit Margin,Assets Under Management,Customer Churn,Cost Per Acquisition
3f978f97-2091-44d0-bfca-651af475583b,Frank Brown,69,186995.48,Bonds,2822.2,1541.48,Average,False,68.41,2023-11-28,0.45380199844093255,185454.0,0,68.41
f60acd14-d3ff-4649-abdc-d9a726c356a9,Clinton Wallace,30,68480.65,Bonds,1412.41,1597.1,Average,False,410.55,2023-05-15,-0.13076231405894875,66883.54999999999,0,410.55
ae2252e6-47aa-4349-80ff-a2483c73de3c,Timothy Brown,29,58046.5,Real Estate,2299.33,1113.17,Excellent,False,232.66,2022-07-31,0.5158720148912944,56933.33,0,232.66
98f1c644-986d-4613-acea-09343187b8c5,Amber Howell,44,69713.89,Bonds,3993.33,2527.12,Excellent,False,408.32,2022-09-21,0.3671647472159827,67186.77,0,408.32
41d0c9b6-ee1f-4004-8a2b-cbba89f45d78,Jessica Conrad,46,130218.52,Stocks,3405.19,2095.11,Excellent,True,269.41,2023-03-15,0.3847303674684819,128123.41,1,269.41
231ebf0e-77f6-48b0-bbbc-e030cdfc7dd6,Theresa Thomas,57,112702.37,Mutual Funds,4811.52,2247.3,Poor,False,377.94,2022-07-27,0.5329334596967279,110455.06999999999,0,377.94
881869c2-0984-42cb-8f50-36af3bf20fda,Brandi Sanders,44,93783.45,Real Estate,1684.68,1135.56,Good,True,135.34,2022-06-25,0.32594914167675765,92647.89,1,135.34
63b98541-e265-43e8-b4e5-3596edeaede8,Monica Smith,30,169497.55,ETFs,4222.53,505.59,Good,True,220.65,2023-03-30,0.8802637281440273,168991.96,1,220.65
58b410b3-f25a-4b5d-8bcd-be502a4adbdb,Corey Cole,21,164803.07,Stocks,3939.55,2534.47,Average,True,494.2,2022-12-06,0.3566600246221016,162268.6,1,494.2
f9ae725a-a129-4a08-a5b7-c216d5ddcdef,Beth Ware,28,81275.01,Stocks,3065.89,1846.56,Good,False,187.94,2022-11-18,0.3977083326538134,79428.45,0,187.94
b69f9265-f536-4820-a8f0-c16817e14030,Kevin Jackson,33,24898.31,Mutual Funds,4604.4,1993.75,Good,True,381.02,2022-03-06,0.5669902701763531,22904.56,1,381.02
2b345274-6730-4a8c-b924-4d3a6b784df0,Jonathan Hahn,25,50135.44,ETFs,2526.42,1328.9,Poor,False,104.92,2023-02-16,0.47399878088362185,48806.54,0,104.92
9cf41c24-5e75-4970-bd69-d3a329ac00de,Matthew Chapman,74,189814.05,Bonds,1726.4,2061.51,Poor,False,157.63,2022-12-26,-0.1941091288229843,187752.53999999998,0,157.63
5f4d6ffa-b4ea-4799-b886-5cbfd0c08db3,David Johnson,60,76810.57,Stocks,1569.84,2957.59,Average,True,493.29,2022-03-23,-0.8840072873668656,73852.98000000001,1,493.29
26053551-df73-4c67-806e-2e424054c702,Misty Boyle,69,40629.27,Real Estate,3749.98,2032.04,Excellent,True,66.28,2024-03-15,0.45811977663880876,38597.229999999996,1,66.28
a408f7e4-b72d-4559-90d5-15650c35b8c8,Ryan Vance,54,105604.92,Real Estate,4941.0,1978.98,Poor,True,60.72,2022-03-03,0.599477838494232,103625.94,1,60.72
6351c617-80b0-4a15-9f52-b975803d0bd5,Angela Edwards,19,120909.78,Mutual Funds,2612.42,1177.86,Good,True,376.43,2023-08-10,0.5491306910833633,119731.92,1,376.43
